q,qstep,psnr,ssim,bpp,encode_ms,decode_ms,vmaf
10,32.0000,29.1980,0.991933,0.898796,42.35,25.47,70.25
20,20.1587,31.5909,0.995412,1.249892,25.45,16.57,80.65
30,13.9288,33.7584,0.997250,1.646346,35.32,16.34,86.81
40,10.5561,36.0318,0.998278,1.962515,33.92,17.92,90.28
50,8.0000,37.5916,0.998808,2.205579,33.08,19.35,89.58
60,6.0629,39.6787,0.999262,2.813387,30.56,19.33,92.47
70,4.5948,41.6880,0.999535,3.454796,36.47,19.43,94.33
80,3.3466,44.8183,0.999773,4.696501,26.92,19.41,95.83
90,2.2410,51.0264,0.999946,8.647863,33.50,18.37,97.07
100,1.0000,inf,1.000000,13.339406,33.33,17.14,97.43
