name,input,width,height,tile_size,qstep,dead_zone,psnr_db,psnr_r,psnr_g,psnr_b,ssim,bpp,compressed_bytes,encode_ms,decode_ms,encode_fps,decode_fps
combo_uniform_dz0_q4,test_material/frames/touchdown_1080p.png,1920,1080,256,4,0,42.98,42.77,43.47,42.74,0.9983,5.42,1405991,,,,
combo_perceptual_dz0_q4,test_material/frames/touchdown_1080p.png,1920,1080,256,4,0,39.67,39.38,40.36,39.34,0.9963,3.69,956554,,,,
combo_full_perceptual_dz0_q4,test_material/frames/touchdown_1080p.png,1920,1080,256,4,0,39.15,38.81,40.05,38.71,0.9958,3.30,856392,,,,
combo_uniform_dz50_q4,test_material/frames/touchdown_1080p.png,1920,1080,256,4,0.5,42.98,42.77,43.47,42.74,0.9983,5.42,1405991,,,,
combo_perceptual_dz50_q4,test_material/frames/touchdown_1080p.png,1920,1080,256,4,0.5,39.67,39.38,40.36,39.34,0.9963,3.69,956554,,,,
combo_full_perceptual_dz50_q4,test_material/frames/touchdown_1080p.png,1920,1080,256,4,0.5,39.15,38.81,40.05,38.71,0.9958,3.30,856392,,,,
combo_uniform_dz75_q4,test_material/frames/touchdown_1080p.png,1920,1080,256,4,0.75,41.78,41.61,42.27,41.51,0.9978,4.16,1079405,,,,
combo_perceptual_dz75_q4,test_material/frames/touchdown_1080p.png,1920,1080,256,4,0.75,38.45,38.20,39.07,38.13,0.9952,2.86,741676,,,,
combo_full_perceptual_dz75_q4,test_material/frames/touchdown_1080p.png,1920,1080,256,4,0.75,38.04,37.75,38.83,37.63,0.9946,2.67,691357,,,,
combo_uniform_dz0_q8,test_material/frames/touchdown_1080p.png,1920,1080,256,8,0,37.52,37.36,37.97,37.26,0.9942,2.81,728427,,,,
combo_perceptual_dz0_q8,test_material/frames/touchdown_1080p.png,1920,1080,256,8,0,34.74,34.48,35.31,34.49,0.9887,2.00,517760,,,,
combo_full_perceptual_dz0_q8,test_material/frames/touchdown_1080p.png,1920,1080,256,8,0,33.85,33.68,34.39,33.53,0.9866,1.90,493332,,,,
combo_uniform_dz50_q8,test_material/frames/touchdown_1080p.png,1920,1080,256,8,0.5,37.52,37.36,37.97,37.26,0.9942,2.81,728427,,,,
combo_perceptual_dz50_q8,test_material/frames/touchdown_1080p.png,1920,1080,256,8,0.5,34.74,34.48,35.31,34.49,0.9887,2.00,517760,,,,
combo_full_perceptual_dz50_q8,test_material/frames/touchdown_1080p.png,1920,1080,256,8,0.5,33.85,33.68,34.39,33.53,0.9866,1.90,493332,,,,
combo_uniform_dz75_q8,test_material/frames/touchdown_1080p.png,1920,1080,256,8,0.75,36.39,36.25,36.80,36.16,0.9924,2.02,523797,,,,
combo_perceptual_dz75_q8,test_material/frames/touchdown_1080p.png,1920,1080,256,8,0.75,33.77,33.53,34.27,33.55,0.9857,1.47,381860,,,,
combo_full_perceptual_dz75_q8,test_material/frames/touchdown_1080p.png,1920,1080,256,8,0.75,33.00,32.83,33.50,32.71,0.9835,1.42,368301,,,,
combo_uniform_dz0_q16,test_material/frames/touchdown_1080p.png,1920,1080,256,16,0,32.26,32.17,32.56,32.07,0.9810,1.42,367394,,,,
combo_perceptual_dz0_q16,test_material/frames/touchdown_1080p.png,1920,1080,256,16,0,30.89,30.65,31.48,30.60,0.9737,1.06,275077,,,,
combo_full_perceptual_dz0_q16,test_material/frames/touchdown_1080p.png,1920,1080,256,16,0,29.03,30.04,30.24,27.41,0.9686,1.02,263165,,,,
combo_uniform_dz50_q16,test_material/frames/touchdown_1080p.png,1920,1080,256,16,0.5,32.26,32.17,32.56,32.07,0.9810,1.42,367394,,,,
combo_perceptual_dz50_q16,test_material/frames/touchdown_1080p.png,1920,1080,256,16,0.5,30.89,30.65,31.48,30.60,0.9737,1.06,275077,,,,
combo_full_perceptual_dz50_q16,test_material/frames/touchdown_1080p.png,1920,1080,256,16,0.5,29.03,30.04,30.24,27.41,0.9686,1.02,263165,,,,
combo_uniform_dz75_q16,test_material/frames/touchdown_1080p.png,1920,1080,256,16,0.75,31.56,31.49,31.85,31.37,0.9775,1.06,274476,,,,
combo_perceptual_dz75_q16,test_material/frames/touchdown_1080p.png,1920,1080,256,16,0.75,29.84,29.51,30.74,29.41,0.9656,0.78,201494,,,,
combo_full_perceptual_dz75_q16,test_material/frames/touchdown_1080p.png,1920,1080,256,16,0.75,26.40,27.93,28.04,24.33,0.9537,0.63,162822,,,,
